condition,tau,n_folds,mean_retrieval_entropy_bits_mean,mean_retrieval_entropy_bits_std,mean_top5_probability_mass_mean,mean_top5_probability_mass_std,mean_top10_probability_mass_mean,mean_top10_probability_mass_std,mean_positive_probability_mean,mean_positive_probability_std,mean_free_energy_mean,mean_free_energy_std
Base E5,0.0398353552483954,5,10.406372720801793,0.0084131426831679,0.0182714334011975,0.0006792105526929,0.0310496407454387,0.0010647549711125,0.0035107258435943,0.0002600067938054,-1.065960189225977,0.0012824132035708
Base E5,0.0430147056462098,5,10.44000082362874,0.0068930310255793,0.0161036518112463,0.0005495317687032,0.0277125294585885,0.0008751917324852,0.003077276599099,0.0002092502934694,-1.0889319196835898,0.0012712138796318
Base E5,0.0464478072378833,5,10.468276284977556,0.0056669213039408,0.0143152814631374,0.000448021922031,0.0249226211062564,0.000724026564913,0.0027247194629944,0.000170206305183,-1.1138104496131715,0.0012612675525378
Base E5,0.05,5,10.491225086138892,0.0047102703424352,0.0128843280554647,0.0003709593148144,0.0226632663651631,0.0006073107527535,0.002445982033726,0.0001409404170868,-1.139614725788807,0.0012527548388826
Base E5,0.0501549124839277,5,10.49210920155513,0.0046741481681151,0.0128295201059354,0.0003680885005973,0.0225762125307092,0.0006029257737603,0.0024353661855862,0.0001398559476543,-1.1407412911991015,0.0012524177383447
Base E5,0.0541578902398383,5,10.512242323149849,0.0038671388060119,0.0115866072579315,0.0003047211879031,0.0205910449339999,0.0005053771704076,0.0021958319727049,0.0001160131058178,-1.1698823192392989,0.0012445290420967
Base E5,0.0584803547642573,5,10.529283894653906,0.0032086020280124,0.0105398669260635,0.0002541267753209,0.0189017302443481,0.0004263269930328,0.0019959147808869,9.708764811183632e-05,-1.2014046521925157,0.0012374842147044
Base E5,0.0631478050235733,5,10.54373401210667,0.0026692412205892,0.0096526651011632,0.0002134339792265,0.0174561124896421,0.0003618638364736,0.0018277770240401,8.191487610588558e-05,-1.235493619978348,0.0012311816172754
Base E5,0.0681877751147372,5,10.556005592078757,0.0022259560749532,0.0088960882423737,0.0001804643684892,0.0162124093627785,0.0003089598315185,0.0016853481574337,6.963454624073823e-05,-1.2723498234228714,0.001225533041605
Base E5,0.0736299966936662,5,10.566440997479544,0.0018604522533389,0.0082471781210796,0.0001535586413122,0.0151369833023473,0.0002652659369504,0.0015638873088277,5.960550129594195e-05,-1.3121902904917315,0.0012204618377946
Base E5,0.0795065743674277,5,10.575325222405892,0.0015581740901294,0.0076875904590417,0.0001314465388937,0.0142026097589837,0.0002289532887039,0.0014596615908929,5.1345389834291005e-05,-1.355249734989813,0.0012159013062304
Base E5,0.0858521750848739,5,10.582896377024593,0.0013074864764167,0.0072025740368111,0.0001131500463502,0.0133871329471897,0.0001985916675107,0.0013697081122249,4.448792372689586e-05,-1.4017819241058351,0.0012117933172831
Base E5,0.0927042326429728,5,10.589354062040991,0.0010990466079121,0.0067801913398909,9.791151779450669e-05,0.0126724212620335,0.0001730569647266,0.0012916567464245,3.875238210624076e-05,-1.4520611619677273,0.0012080871271977
Base E5,0.1001031685152564,5,10.594866093338291,0.0009253197624374,0.006410721163344,8.514027502251914e-05,0.0120435535576334,0.0001514608938545,0.0012235972180121,3.392169085192645e-05,-1.5063838972128285,0.0012047383628743
Base E5,0.108092630305089,5,10.59957393314934,0.0007802043602936,0.0060861984990023,7.437283273038055e-05,0.0114881830883957,0.0001330975914599,0.0011639786994884,2.9826538336608715e-05,-1.5650704634505517,0.0012017081518081
Base E5,0.1167197492304344,5,10.603597102416458,0.0006587401799534,0.0058000583003678,6.524316158872241e-05,0.0109960382892258,0.0001174029724928,0.001111533410979,2.633376825422523e-05,-1.628466962401389,0.0011989623765624
Base E5,0.1260354181590685,5,10.607036786045546,0.0005568801200696,0.0055468581539954,5.7460353221876345e-05,0.0105585291846476,0.0001039236982412,0.0010652180601149,2.3337825674617223e-05,-1.696947300439073,0.0011964710358833
Base E5,0.136094591834415,5,10.609978794705505,0.0004713107657536,0.0053220611611228,5.0791757758328736e-05,0.0101684355927638,9.229339121848608e-05,0.0010241686336523,2.075439992095065e-05,-1.77091539024941,0.0011942076969929
Base E5,0.1469566110630891,5,10.612496010273698,0.0003993106341685,0.0051218649914545,4.505018265652556e-05,0.0098196589090677,8.221432375740462e-05,0.0009876652513127,1.8515660902897308e-05,-1.850807530358447,0.0011921490257525
Base E5,0.1586855527765864,5,10.614650414225496,0.0003386376635934,0.0049430665290883,4.008411900010627e-05,0.0095070235208768,7.344325325607816e-05,0.0009551046554115,1.656666066629508e-05,-1.937094976383149,0.0011902743832712
Base E5,0.1713506080321927,5,10.616494777059676,0.0002874395151749,0.0047829541021262,3.577023586698794e-05,0.009226117138273,6.578041044285254e-05,0.0009259785346286,1.486259387726666e-05,-2.030286719028976,0.0011885654791984
Base E5,0.1850264901830073,5,10.618074070603068,0.0002441817586169,0.0046392212052481,3.200758286363853e-05,0.0089731617827363,5.906089526202638e-05,0.0008998563352624,1.3366696473025411e-05,-2.1309324851097156,0.0011870060733622
Base E5,0.1997938756249444,5,10.619426652515664,0.0002075901440036,0.0045098970598963,2.871308618789012e-05,0.0087449090417549,5.314791957619246e-05,0.0008763715467224,1.2048622108781696e-05,-2.239625979205042,0.0011855817186662
Base E5,0.2157398797207566,5,10.62058526260324,0.0001766040184293,0.0043932904355618,2.5818029683297472e-05,0.0085385546215023,4.7927473249141295e-05,0.0008552106938877,1.088317900608345e-05,-2.357008385009899,0.0011842795392034
Base E5,0.2329585707086384,5,10.621577862955096,0.0001503385981439,0.0042879439702326,2.326529012744932e-05,0.0083516683191321,4.330409259609397e-05,0.0008361044514303,9.849340617658096e-06,-2.483772146976597,0.0011830880384689
Base E5,0.2515515246270452,5,10.622428347951978,0.0001280543060929,0.004192596846044,2.1007153260161436e-05,0.0081821363730622,3.91974867737774e-05,0.0008188204314921,8.92946577684891e-06,-2.6206650545156456,0.0011819969333075
Base E5,0.2716284245293255,5,10.62315714545411,0.0001091317687501,0.0041061541473205,1.9003579413802345e-05,0.0080281137950053,3.5539835148185376e-05,0.0008031572985287,8.108680191144363e-06,-2.768494652815189,0.0011809970099043
Base E5,0.2933077075230374,5,10.623781726699011,9.305136312746268e-05,0.0040276615891922,1.7220819092074187e-05,0.0078879847873752,3.2273611965155086e-05,0.0007889399425896,7.374383005515793e-06,-2.928133006272824,0.0011800799986709
Base E5,0.3167172634509454,5,10.624317039399134,7.937643537937432e-05,0.0039562845829423,1.563030236482583e-05,0.0077603297385464,2.9349827392983293e-05,0.0007760155012288,6.715850919129685e-06,-3.100521842619215,0.0011792384653523
Base E5,0.3419951893353395,5,10.624775876069924,6.773949249236694e-05,0.0038912908193576,1.4207743609115654e-05,0.0076438975922579,2.6726598883747147e-05,0.0007642500653346,6.123918847143577e-06,-3.2866781080630743,0.0011784657160855
Base E5,0.3692906040362719,5,10.625169187616148,5.783080934514847e-05,0.0038320357186289,1.293241645856133e-05,0.0075375826258665,2.4367985785708243e-05,0.0007535259388679,5.590720987900633e-06,-3.487699966215152,0.001177755714465
Base E5,0.3987645279295231,5,10.625506350564494,4.938900447831227e-05,0.0037779502260615,1.1786563937575e-05,0.0074404048600667,2.2243034694305433e-05,0.0007437393493632,5.109479821473817e-06,-3.7047732761695458,0.0011771030089678
Base E5,0.4305908327936693,5,10.625795394980653,4.219322531630921e-05,0.0037285305354776,1.0754916469860633e-05,0.0073514934714316,2.0324994238495543e-05,0.0007347985269386,4.674333342676399e-06,-3.9391785879493746,0.0011765026693269
Base E5,0.4649572675097981,5,10.626043198992702,3.605665310421384e-05,0.003683329403123,9.82429636140015e-06,0.0072700726973639,1.8590666670881965e-05,0.0007266220859145,4.280192948411744e-06,-4.192298696577561,0.0011759502306421
Base E5,0.5020665656246559,5,10.626255654915443,3.082109299368993e-05,0.0036419487790203,8.983291910340545e-06,0.0071954498174169,1.701987036869485e-05,0.0007191376559876,3.9226260220510465e-06,-4.4656267993302565,0.0011754416442047
Base E5,0.5421376413109297,5,10.626437811197183,2.635245875214301e-05,0.0036040335337304,8.221987818996656e-06,0.0071270048705783,1.5594992612281256e-05,0.0007122807200613,3.5977585086825624e-06,-4.760775304289731,0.0011749732341417
Base E5,0.585406880779843,5,10.62659399376368,2.2536996986423217e-05,0.0035692660992622,7.531741322238353e-06,0.0070641818289598,1.4300616130821962e-05,0.0007059936238909,3.3021937449239928e-06,-5.079485342156568,0.0011745416591262
Base E5,0.6321295367643318,5,10.626727909791184,1.9278124063337085e-05,0.0035373618755895,6.904995586016422e-06,0.0070064809974873,1.3123206150839835e-05,0.0007002247291304,3.032944562751612e-06,-5.423637037430272,0.001174143878501
Base E5,0.6825812342990955,5,10.626842736483685,1.6493771860123735e-05,0.0035080652805955,6.335123608469599e-06,0.0069534524490315,1.2050847248992098e-05,0.0006949276865117,2.787376278693195e-06,-5.795260599547591,0.0011737771222475
