condition,tau,n_folds,mean_retrieval_entropy_bits_mean,mean_retrieval_entropy_bits_std,mean_top5_probability_mass_mean,mean_top5_probability_mass_std,mean_top10_probability_mass_mean,mean_top10_probability_mass_std,mean_positive_probability_mean,mean_positive_probability_std,mean_free_energy_mean,mean_free_energy_std
Base E5,0.09270423264297287,5,10.589354062040993,0.0010990466079121744,0.006780191339890902,9.791151779450669e-05,0.012672421262033556,0.0001730569647266337,0.001291656746424503,3.875238210624076e-05,-1.4520611619677273,0.0012080871271977751
Base E5,0.10010316851525645,5,10.594866093338293,0.0009253197624374404,0.006410721163344063,8.514027502251914e-05,0.012043553557633402,0.00015146089385454663,0.0012235972180121915,3.392169085192645e-05,-1.5063838972128285,0.0012047383628743945
Base E5,0.10809263030508903,5,10.59957393314934,0.0007802043602936574,0.006086198499002304,7.437283273038055e-05,0.011488183088395793,0.00013309759145993256,0.0011639786994884203,2.9826538336608715e-05,-1.5650704634505515,0.0012017081518081241
Base E5,0.11671974923043442,5,10.603597102416458,0.0006587401799534981,0.00580005830036784,6.524316158872241e-05,0.010996038289225801,0.00011740297249284425,0.0011115334109790035,2.6333768254225234e-05,-1.628466962401389,0.001198962376562468
Base E5,0.1260354181590685,5,10.607036786045546,0.0005568801200696933,0.00554685815399543,5.7460353221876345e-05,0.010558529184647655,0.00010392369824128487,0.0010652180601149319,2.3337825674617223e-05,-1.696947300439073,0.00119647103588331
Base E5,0.13609459183441505,5,10.609978794705505,0.0004713107657536052,0.0053220611611228584,5.0791757758328736e-05,0.010168435592763845,9.229339121848608e-05,0.0010241686336523754,2.075439992095065e-05,-1.7709153902494101,0.0011942076969929684
Base E5,0.14695661106308916,5,10.612496010273698,0.00039931063416851956,0.005121864991454553,4.505018265652556e-05,0.009819658909067743,8.221432375740462e-05,0.0009876652513127093,1.8515660902897308e-05,-1.850807530358447,0.0011921490257525021
Base E5,0.1586855527765864,5,10.614650414225496,0.0003386376635934679,0.0049430665290883125,4.0084119000106275e-05,0.009507023520876812,7.344325325607816e-05,0.0009551046554115457,1.656666066629508e-05,-1.937094976383149,0.001190274383271294
Base E5,0.17135060803219276,5,10.616494777059675,0.00028743951517498444,0.004782954102126249,3.577023586698794e-05,0.009226117138273031,6.578041044285254e-05,0.0009259785346286839,1.486259387726666e-05,-2.030286719028976,0.0011885654791984612
Base E5,0.18502649018300737,5,10.618074070603067,0.0002441817586169815,0.004639221205248184,3.200758286363853e-05,0.008973161782736312,5.906089526202638e-05,0.0008998563352624114,1.3366696473025413e-05,-2.1309324851097156,0.0011870060733622425
Base E5,0.19979387562494444,5,10.619426652515665,0.00020759014400366054,0.004509897059896346,2.871308618789012e-05,0.008744909041754978,5.314791957619246e-05,0.0008763715467224552,1.2048622108781696e-05,-2.239625979205042,0.001185581718666217
Base E5,0.2157398797207566,5,10.620585262603239,0.00017660401842933314,0.004393290435561843,2.5818029683297472e-05,0.008538554621502367,4.7927473249141295e-05,0.0008552106938877598,1.088317900608345e-05,-2.357008385009899,0.0011842795392034706
Base E5,0.2329585707086384,5,10.621577862955096,0.00015033859814391872,0.004287943970232632,2.3265290127449322e-05,0.008351668319132172,4.330409259609397e-05,0.0008361044514303493,9.849340617658096e-06,-2.483772146976597,0.0011830880384689903
Base E5,0.2515515246270452,5,10.622428347951978,0.00012805430609299376,0.004192596846044021,2.1007153260161436e-05,0.008182136373062282,3.91974867737774e-05,0.0008188204314921524,8.92946577684891e-06,-2.6206650545156456,0.0011819969333075123
Base E5,0.27162842452932556,5,10.62315714545411,0.00010913176875011361,0.004106154147320588,1.9003579413802342e-05,0.008028113795005381,3.5539835148185376e-05,0.0008031572985287879,8.108680191144363e-06,-2.768494652815189,0.0011809970099043328
Base E5,0.2933077075230374,5,10.623781726699013,9.305136312746267e-05,0.004027661589192204,1.7220819092074187e-05,0.007887984787375266,3.2273611965155086e-05,0.0007889399425896398,7.374383005515793e-06,-2.928133006272824,0.0011800799986709282
Base E5,0.3167172634509454,5,10.624317039399134,7.937643537937432e-05,0.003956284582942301,1.563030236482583e-05,0.007760329738546484,2.9349827392983293e-05,0.000776015501228883,6.715850919129685e-06,-3.100521842619215,0.0011792384653523317
Base E5,0.3419951893353395,5,10.624775876069924,6.773949249236694e-05,0.0038912908193576767,1.4207743609115654e-05,0.007643897592257931,2.6726598883747147e-05,0.0007642500653346082,6.123918847143577e-06,-3.2866781080630743,0.0011784657160855804
Base E5,0.36929060403627195,5,10.625169187616148,5.783080934514847e-05,0.003832035718628906,1.293241645856133e-05,0.0075375826258665376,2.4367985785708243e-05,0.0007535259388679863,5.590720987900633e-06,-3.487699966215152,0.0011777557144650116
Base E5,0.3987645279295231,5,10.625506350564494,4.938900447831227e-05,0.003777950226061564,1.1786563937575e-05,0.007440404860066763,2.2243034694305433e-05,0.0007437393493632861,5.109479821473817e-06,-3.7047732761695458,0.0011771030089678368
Base E5,0.4305908327936693,5,10.625795394980653,4.219322531630921e-05,0.003728530535477619,1.0754916469860633e-05,0.007351493471431672,2.0324994238495546e-05,0.0007347985269386601,4.674333342676399e-06,-3.9391785879493746,0.0011765026693269576
Base E5,0.46495726750979816,5,10.626043198992702,3.605665310421384e-05,0.003683329403123012,9.82429636140015e-06,0.007270072697363917,1.8590666670881965e-05,0.000726622085914542,4.280192948411744e-06,-4.192298696577561,0.0011759502306421005
Base E5,0.5020665656246559,5,10.626255654915443,3.082109299368993e-05,0.0036419487790203342,8.983291910340545e-06,0.007195449817416937,1.701987036869485e-05,0.0007191376559876734,3.9226260220510465e-06,-4.4656267993302565,0.001175441644204755
Base E5,0.5421376413109297,5,10.626437811197183,2.635245875214301e-05,0.003604033533730446,8.221987818996656e-06,0.007127004870578349,1.5594992612281256e-05,0.0007122807200613175,3.5977585086825624e-06,-4.760775304289731,0.0011749732341417589
Base E5,0.585406880779843,5,10.62659399376368,2.2536996986423217e-05,0.0035692660992622345,7.531741322238353e-06,0.007064181828959827,1.4300616130821962e-05,0.0007059936238909166,3.3021937449239928e-06,-5.079485342156568,0.0011745416591262808
Base E5,0.6321295367643318,5,10.626727909791184,1.9278124063337085e-05,0.0035373618755895494,6.904995586016422e-06,0.0070064809974873035,1.3123206150839837e-05,0.0007002247291304673,3.032944562751612e-06,-5.423637037430272,0.0011741438785010895
Base E5,0.6825812342990955,5,10.626842736483683,1.6493771860123735e-05,0.003508065280595554,6.335123608469599e-06,0.006953452449031542,1.2050847248992098e-05,0.0006949276865117376,2.787376278693195e-06,-5.795260599547591,0.0011737771222475781
Base E5,0.7370595966803845,5,10.626941197044308,1.411415700545526e-05,0.003481146342585892,5.816297178961081e-06,0.00690469033684042,1.1073021347301262e-05,0.0006900608100284328,2.563158645576442e-06,-6.196548299405392,0.0011734388643193062
Base E5,0.7958860011973389,5,10.627025625705183,1.20799032741436e-05,0.0034563977518220538,5.3433764973407784e-06,0.006859827952607908,1.018041981201778e-05,0.000685586536341294,2.3582252123808185e-06,-6.629867401918217,0.001173126798927479
