fold,condition,margin
1,Base E5,0.0097897052764892
1,Base E5,0.0423583388328552
1,Base E5,-0.0160335898399353
1,Base E5,0.0077682733535766
1,Base E5,-0.026776909828186
1,Base E5,0.0101950168609619
1,Base E5,0.0491867661476135
1,Base E5,-0.0075955390930175
1,Base E5,0.0471120476722717
1,Base E5,0.0257195234298706
1,Base E5,-0.0329638719558715
1,Base E5,0.0115501284599304
1,Base E5,-0.0419180393218994
1,Base E5,0.0340429544448852
1,Base E5,0.0361661314964294
1,Base E5,-0.0014392733573913
1,Base E5,0.0233717560768127
1,Base E5,0.0470906496047973
1,Base E5,-0.0375142693519592
1,Base E5,-0.0181227922439575
1,Base E5,-0.0185608267784118
1,Base E5,0.0320554971694946
1,Base E5,0.0521435737609863
1,Base E5,0.0173472166061401
1,Base E5,0.0421607494354248
1,Base E5,0.0701136589050293
1,Base E5,0.035805344581604
1,Base E5,0.0620350837707519
1,Base E5,0.0465866327285766
1,Base E5,0.0389108657836914
1,Base E5,-0.0016461610794067
1,Base E5,0.0792715549468994
1,Base E5,-0.0093344449996948
1,Base E5,0.0155656933784484
1,Base E5,0.0009570717811584
1,Base E5,0.0330827236175537
1,Base E5,-0.063345193862915
1,Base E5,0.0207752585411071
1,Base E5,-0.0435782670974731
1,Base E5,0.0126245021820068
1,Base E5,-0.0180924534797668
1,Base E5,0.048649787902832
1,Base E5,0.0379469394683837
1,Base E5,0.0107440948486328
1,Base E5,0.0098322033882141
1,Base E5,-0.0242956280708313
1,Base E5,0.0202060341835021
1,Base E5,0.0592064261436462
1,Base E5,0.0466892719268798
1,Base E5,0.0357361435890197
1,Base E5,0.0161831378936767
1,Base E5,-0.0410597324371337
1,Base E5,0.0160648226737976
1,Base E5,0.0213473439216613
1,Base E5,0.0355811715126037
1,Base E5,0.0246390700340271
1,Base E5,0.0209653377532959
1,Base E5,-0.0096231698989868
1,Base E5,0.0343064069747924
1,Base E5,0.0480742454528808
1,Base E5,0.0225238800048828
1,Base E5,0.0245088338851928
1,Base E5,0.0098937153816223
1,Base E5,0.0264562964439392
1,Base E5,0.0090467929840087
1,Base E5,0.020791471004486
1,Base E5,0.0065740942955017
1,Base E5,0.0185477137565612
1,Base E5,0.0304378867149353
1,Base E5,0.0309585928916931
1,Base E5,0.0086817741394042
1,Base E5,0.0421342253684997
1,Base E5,0.0181477665901184
1,Base E5,0.0456393957138061
1,Base E5,0.0032083392143249
1,Base E5,-0.0002511739730834
1,Base E5,-0.009633719921112
1,Base E5,-0.0009296536445617
1,Base E5,-0.0099186301231384
1,Base E5,0.0343544483184814
1,Base E5,-0.0075761675834655
1,Base E5,-0.0071127414703369
1,Base E5,-0.0106886625289917
1,Base E5,0.0227980613708496
1,Base E5,-0.0029157400131225
1,Base E5,-0.0273069143295288
1,Base E5,-0.0130689144134521
1,Base E5,0.0293155908584594
1,Base E5,-0.0228180885314941
1,Base E5,0.0556797385215759
1,Base E5,-0.0138860344886779
1,Base E5,0.0383933782577514
1,Base E5,-0.0149319171905517
1,Base E5,0.0427597761154174
1,Base E5,-0.009857952594757
1,Base E5,0.0167820453643798
1,Base E5,0.018334686756134
1,Base E5,-0.0296682715415954
1,Base E5,-0.009381353855133
1,Base E5,0.0128691792488098
1,Base E5,-0.0138075351715087
1,Base E5,-0.0110412240028381
1,Base E5,0.010418951511383
1,Base E5,-0.0063386559486389
1,Base E5,-0.028437316417694
1,Base E5,-0.0047939419746398
1,Base E5,-0.0133568048477172
1,Base E5,0.0189526677131652
1,Base E5,-0.0013672113418579
1,Base E5,0.0055100917816162
1,Base E5,0.0078601241111755
1,Base E5,0.0447351932525634
1,Base E5,-0.0047376751899719
1,Base E5,-0.002591848373413
1,Base E5,0.0308057069778442
1,Base E5,0.0307426452636718
1,Base E5,0.0021660923957824
1,Base E5,-0.0320358872413635
1,Base E5,0.0654784440994262
1,Base E5,0.0795445442199707
1,Base E5,0.0313777923583984
1,Base E5,0.006240963935852
1,Base E5,-0.0089724659919738
1,Base E5,0.025667667388916
1,Base E5,0.0126721262931823
1,Base E5,-0.004991590976715
1,Base E5,-0.0157152414321899
1,Base E5,-0.004551351070404
1,Base E5,-0.0034922957420349
1,Base E5,-0.0213680267333984
1,Base E5,-0.0418346524238586
1,Base E5,-0.0131226778030395
1,Base E5,-0.0178815126419067
1,Base E5,0.0251239538192749
1,Base E5,0.042851448059082
1,Base E5,0.0152974128723144
1,Base E5,0.0005082488059997
1,Base E5,-0.0044136643409729
1,Base E5,-0.0090606808662414
1,Base E5,0.0302457809448242
1,Base E5,0.0443800687789917
1,Base E5,0.0134395956993103
1,Base E5,0.0220954418182373
1,Base E5,-0.0355315804481506
1,Base E5,-0.0216948986053466
1,Base E5,0.0288022756576538
1,Base E5,-0.0112118124961853
1,Base E5,0.0062339305877685
1,Base E5,-0.0152304768562316
1,Base E5,-0.0191556811332702
1,Base E5,-0.013052761554718
1,Base E5,0.0259139537811279
1,Base E5,0.0185222029685974
1,Base E5,0.0164758563041687
1,Base E5,-0.0220783948898315
1,Base E5,0.0353743433952331
1,Base E5,0.0173369646072387
1,Base E5,-0.0145926475524902
1,Base E5,0.010107398033142
1,Base E5,0.011626124382019
1,Base E5,-0.0081415176391601
1,Base E5,0.0181635618209838
1,Base E5,-0.0056071281433105
1,Base E5,-0.0129638314247131
1,Base E5,0.0081576108932495
1,Base E5,-0.0048974156379699
1,Base E5,-0.0003442168235778
1,Base E5,0.0195153951644897
1,Base E5,-0.0090056657791137
1,Base E5,-0.0123627185821533
1,Base E5,0.0152119398117065
1,Base E5,0.0298329591751098
1,Base E5,-0.0245139598846435
1,Base E5,0.0220517516136169
1,Base E5,0.000573992729187
1,Base E5,0.0028787851333618
1,Base E5,-0.018028974533081
1,Base E5,-0.0142689943313598
1,Base E5,-0.0182458758354187
1,Base E5,0.0257100462913513
1,Base E5,-0.0145650506019592
1,Base E5,0.0054332017898559
1,Base E5,0.0005197525024414
1,Base E5,-0.0014509558677673
1,Base E5,0.0160417556762695
1,Base E5,0.0379917621612548
1,Base E5,0.0238215923309326
1,Base E5,0.0389227867126464
1,Base E5,0.0118589401245117
1,Base E5,0.0063873529434204
1,Base E5,0.0079002976417541
1,Base E5,0.022840142250061
1,Base E5,-0.0045694112777709
1,Base E5,0.0393118262290954
1,Base E5,0.0132369995117187
1,Base E5,0.0455874800682067
1,Base E5,-0.01117604970932
1,Base E5,-0.0196081399917602
1,Base E5,0.0290128588676452
1,Base E5,0.0307206511497497
1,Base E5,-0.018247902393341
1,Base E5,0.0530201196670532
1,Base E5,0.00734543800354
1,Base E5,0.0126619338989257
1,Base E5,0.0026733875274658
1,Base E5,0.0087556838989257
1,Base E5,0.0252399444580078
1,Base E5,0.0410017371177673
1,Base E5,0.0101313591003417
1,Base E5,0.0092095732688903
1,Base E5,-0.0188806653022766
1,Base E5,0.0072912573814392
1,Base E5,-0.0013992190361022
1,Base E5,-0.0076054334640502
1,Base E5,-0.0128979682922363
1,Base E5,-0.0020254850387573
1,Base E5,0.0043991208076477
1,Base E5,0.0188132524490356
1,Base E5,0.0053890943527221
1,Base E5,0.0261743664741516
1,Base E5,0.0101409554481506
1,Base E5,-0.0085409283638
1,Base E5,-0.014423668384552
1,Base E5,0.0121236443519592
1,Base E5,0.0275682210922241
1,Base E5,-0.0051138997077941
1,Base E5,-0.0002694725990295
1,Base E5,0.0062623023986816
1,Base E5,-0.0001038312911987
1,Base E5,0.0570282936096191
1,Base E5,0.0046916604042053
1,Base E5,0.0098733305931091
1,Base E5,0.0325915217399597
1,Base E5,-0.0144823193550109
1,Base E5,0.0025424361228942
1,Base E5,0.0010056495666503
1,Base E5,0.0012823343276977
1,Base E5,0.0240566730499267
1,Base E5,-0.0365473628044128
1,Base E5,0.0256800055503845
1,Base E5,-0.0324333906173706
1,Base E5,0.0079192519187927
1,Base E5,-0.0126721858978271
1,Base E5,0.0063177943229675
1,Base E5,-0.0218898057937622
1,Base E5,0.0143274664878845
1,Base E5,0.0083825588226318
1,Base E5,-0.0058535933494567
1,Base E5,0.0093150734901428
1,Base E5,0.0001912713050842
1,Base E5,0.0014153122901916
1,Base E5,0.020304262638092
1,Base E5,-0.019612431526184
1,Base E5,-0.01054447889328
1,Base E5,-0.003486156463623
1,Base E5,0.0022536516189575
1,Base E5,-0.013442575931549
1,Base E5,0.0481461882591247
1,Base E5,0.024447739124298
1,Base E5,0.0456106066703796
1,Base E5,0.015340507030487
1,Base E5,-0.0386298298835754
1,Base E5,-0.007229208946228
1,Base E5,0.0045322179794311
1,Base E5,0.0327087044715881
1,Base E5,0.0403336882591247
1,Base E5,0.0104367136955261
1,Base E5,0.0367801785469055
1,Base E5,-0.0038052201271057
1,Base E5,0.0437108874320983
1,Base E5,0.0082072615623474
1,Base E5,0.0272111892700195
1,Base E5,0.0319788455963134
1,Base E5,0.0223934650421142
1,Base E5,0.0012575387954711
1,Base E5,-0.0039724707603454
1,Base E5,0.0137192010879516
1,Base E5,-0.0054996013641357
1,Base E5,-0.0297113060951232
1,Base E5,-0.0029293894767761
1,Base E5,-0.0294957756996154
1,Base E5,0.016903817653656
1,Base E5,-0.0049594044685363
1,Base E5,0.0015435218811035
1,Base E5,0.02075856924057
1,Base E5,0.0147274136543273
1,Base E5,0.045253038406372
1,Base E5,0.0074120163917541
1,Base E5,0.0118354558944702
1,Base E5,-0.0171986818313598
1,Base E5,-0.0073423385620117
1,Base E5,-0.0026829838752746
1,Base E5,-0.0115982890129089
1,Base E5,0.0217751264572143
1,Base E5,0.0024107694625854
1,Base E5,0.0282773375511169
1,Base E5,-0.0035232901573181
1,Base E5,0.0425322651863098
1,Base E5,0.0024067759513854
1,Base E5,0.0405640006065368
1,Base E5,-0.0103678703308105
1,Base E5,0.0040978193283081
1,Base E5,-0.0221237540245056
1,Base E5,0.0507262349128723
1,Base E5,0.0329479575157165
1,Base E5,0.0051099061965942
1,Base E5,0.0042073130607604
1,Base E5,0.0227232575416564
