fold,condition,score_type,cosine_similarity
1,Base E5,positive_score,0.8946009874343872
1,Base E5,positive_score,0.8368124961853027
1,Base E5,positive_score,0.8621581792831421
1,Base E5,positive_score,0.8630879521369934
1,Base E5,positive_score,0.7676394581794739
1,Base E5,positive_score,0.8011512160301208
1,Base E5,positive_score,0.8541728854179382
1,Base E5,positive_score,0.8295810222625732
1,Base E5,positive_score,0.8417730927467346
1,Base E5,positive_score,0.8357486128807068
1,Base E5,positive_score,0.8189272284507751
1,Base E5,positive_score,0.8303681015968323
1,Base E5,positive_score,0.8823820352554321
1,Base E5,positive_score,0.8410869836807251
1,Base E5,positive_score,0.8719797134399414
1,Base E5,positive_score,0.8701924681663513
1,Base E5,positive_score,0.8561221957206726
1,Base E5,positive_score,0.8232990503311157
1,Base E5,positive_score,0.8527942895889282
1,Base E5,positive_score,0.8335798978805542
1,Base E5,positive_score,0.8467068672180176
1,Base E5,positive_score,0.8078531622886658
1,Base E5,positive_score,0.8509790897369385
1,Base E5,positive_score,0.7991586327552795
1,Base E5,positive_score,0.8622298836708069
1,Base E5,positive_score,0.8200501799583435
1,Base E5,positive_score,0.8525886535644531
1,Base E5,positive_score,0.8468443751335144
1,Base E5,positive_score,0.8408141136169434
1,Base E5,positive_score,0.8731704950332642
1,Base E5,positive_score,0.8250308632850647
1,Base E5,positive_score,0.8403707146644592
1,Base E5,positive_score,0.8200681209564209
1,Base E5,positive_score,0.8235577344894409
1,Base E5,positive_score,0.8246821761131287
1,Base E5,positive_score,0.8362094759941101
1,Base E5,positive_score,0.8629825115203857
1,Base E5,positive_score,0.8208962082862854
1,Base E5,positive_score,0.8574838042259216
1,Base E5,positive_score,0.8353124856948853
1,Base E5,positive_score,0.8658187389373779
1,Base E5,positive_score,0.8455686569213867
1,Base E5,positive_score,0.8710737228393555
1,Base E5,positive_score,0.8328917026519775
1,Base E5,positive_score,0.8516992330551147
1,Base E5,positive_score,0.8138185143470764
1,Base E5,positive_score,0.8858059644699097
